segment,n_obs,mean,std,skew,kurtosis,p5,median,p95,jb_pvalue
football,1815509,-0.0022111733210765697,0.05619652826940021,0.19207007369375825,4.088212713254758,-0.09164420485175206,0.0,0.08920417135696534,0.0
hockey,463678,0.0019852351955830464,0.040280335036285274,0.38079115413065595,10.283555942306036,-0.057553592850258364,0.0,0.06583134010664671,0.0
handball,109305,-0.0012251209604774596,0.04424829180282293,-0.5721392434521524,20.890455304157385,-0.07007299270072997,0.0,0.06453709053479932,0.0
basketball,62522,-0.0005834237187033834,0.04741302254439302,-0.10737290771584493,7.994133740737736,-0.07407118844594496,0.0,0.07194762213108863,0.0
floorball,19750,5.6863544230270456e-05,0.02217740456920961,3.471652343763576,191.21340415898024,-0.026750664980578293,0.0,0.027364377839228154,0.0
futsal,16998,0.0025364188049903616,0.036873452695386645,0.7526249422661087,19.04593096494732,-0.045866836089933215,0.0,0.061134364199318,0.0
rugby-union,12566,0.001750425234558226,0.062107865093072236,0.5265822397952925,7.035836618872354,-0.09259259259259245,0.0,0.09872011256941154,0.0
baseball,6589,0.004797217558676256,0.032312519965282095,0.4831384838065755,11.821463648296294,-0.04215564053292249,0.0024875621890546595,0.054515361760258584,0.0
rugby-league,4541,0.0015748566801315877,0.05678895952545999,0.3504302300668931,10.442554487380965,-0.08495575221238938,0.0,0.08594346829640942,0.0
bandy,4169,-0.0025835647711938197,0.03251822929505766,0.2841336991882109,14.760243479355712,-0.0575489763147995,0.0,0.04228973640738346,0.0
water-polo,2295,0.0003889587252692649,0.03183788575832285,-0.9533619347803967,29.243848476277293,-0.037464387464387454,0.0,0.040854808296668876,0.0
cricket,1935,-0.003943550070582944,0.05714759752840315,-0.9581799960037864,7.002092089289963,-0.09611342111342108,0.0,0.07828821228621834,0.0
darts,1220,0.0020570516314005077,0.02584212959627203,0.4162532215273794,4.2844868573546675,-0.036363636363636376,0.0,0.04447911016759286,5.262642728912608e-211
american-football,942,0.00029100488014906,0.049743875120253175,0.33563481395252015,3.925306334955031,-0.07539323898835108,0.0,0.08394144269475828,6.861356698829114e-136
